port_of_abandonment,port_of_abandonment_updated,port_of_abandonment_updated,lon,ship_count
"Currently en-route to Khor Fakkan, United Arab Emirates","Khor Fakkan, United Arab Emirates",25.3492,56.3478,6
"Dakar, Senegal","Dakar, Senegal",14.693425,-17.447938,22
"Dakhla, Morocco","Dakhla, Morocco",23.6940663,-15.9431274,1
"Damietta, Egypt","Damietta, Egypt",31.4167427,31.8213657,3
"Dammam Port, Saudi Arabia","Dammam, Saudi Arabia",26.5112268,50.2031843,1
"Dammam, Saudi Arabia","Dammam, Saudi Arabia",26.4367824,50.1039991,20
"Dangjin, Republic of Korea","Dangjin, Republic of Korea",36.8904083,126.6461833,1
"Danube River, Galati, Romania","Danube River, Galati, Romania",45.4338,28.0549,1
"Dar es Salam, United Republic of Tanzania","Dar es Salam, United Republic of Tanzania",-6.8160837,39.2803583,1
"Dayyer Port, Iran (Islamic Republic of)","Dayyer Port, Iran",27.834048081979,51.9275940189987,1
"Derince, Turkey","Derince, Turkey",40.7574495,29.8307628,1
"Diliskelesi, Turkey","Diliskelesi, Turkey",40.7694904,29.5235035,1
"Djen Djen anchorage, Algeria","Djen Djen, Algeria",36.7292,5.9608,1
"Djen Djen, Algeria","Djen Djen, Algeria",36.8239022,5.8907936,1
"Djibouti Anchorage, Djibouti","Djibouti, Djibouti",11.8146,42.8453,1
"Djibouti, Djibouti","Djibouti, Djibouti",11.5936903,43.1472724,14
"Doha, Qatar","Doha, Qatar",25.3108807,51.5081812,1
"Donghae, Republic of Korea","Donghae, Republic of Korea",37.5245142,129.1146302,1
"Dongyin Island, Taiwan","Dongyin Island, Taiwan",26.3671921,120.4931522,1
"Douala's port, Cameroon","Douala, Cameroon",4.05336360361665,9.68725357737336,1
"Douala, Cameroon","Douala, Cameroon",4.0429389,9.7062018,4
"Drifting near Curacao, Curaçao","Curacao, Curaçao",12.2135,-69.0409,1
"Drifting outside Kandla Port, India","Kandla Port, India",23.0047,70.2163,1
"Dubai DMC, United Arab Emirates","Dubai, United Arab Emirates",25.108648,55.3922587,1
"Dubai anchorage, United Arab Emirates","Dubai, United Arab Emirates",25.0743,55.1885,1
"Dubai, United Arab Emirates","Dubai, United Arab Emirates",25.0742823,55.1885387,32
"Duqm, Oman","Duqm, Oman",19.6230411,57.6340004,2
"Durban, South Africa","Durban, South Africa",-29.861825,31.009909,11
"Durres, Albania","Durres, Albania",41.313255,19.4462348,4
"El Guamache anchorage, Venezuela (Bolivarian Republic of)","El Guamache Anchorage, Venezuela",10.8955,-64.0648,1
"Elefsis, Greece","Elefsis, Greece",38.0323903,23.4959887,3
"En route to Bartin Port, Turkey","Bartin Port, Turkey",41.4948,32.4354,1
"En-route to Alexandria, Egypt","Alexandria, Egypt",31.1992,29.8952,1
"En-route to Port of Bosaso, Somalia","Port of Bosaso, Somalia",11.0026,49.4107,1
"En-route to Sakaimina, Japan","Sakaimina, Japan",35.5392,133.2319,1
"En-route to Umm qasr, Iraq","Umm qasr, Iraq",30.0323,47.9215,1
"Enroute Beirut, Lebanon","Beirut, Lebanon",33.8892,35.5026,1
"Enroute to Baniyas, Syrian Arab Republic","Baniyas, Syrian Arab Republic",35.1851,35.9478,1
"Enroute to Sao Sebastiao, Brazil","Sao Sebastiao, Brazil",-23.8028,-45.4071,1
"Ensenada, Mexico","Ensenada, Mexico",31.8658887,-116.602983,1
"En‐route to San Lorenzo, Argentina","San Lorenzo, Argentina",-32.7455,-60.7431,1
"Eregli, Turkiye, Turkey","Eregli, Turkey",37.5141,34.0473,1
"Esbjerg, Denmark","Esbjerg, Denmark",55.4664892,8.4520751,1
"Essequibo River, Guyana","Essequibo River, Guyana",4.3561036,-58.4785509,1
"Famagusta Port, Cyprus","Famagusta, Cyprus",34.6718618,33.0421767,1
"Famagusta anchorage, Cyprus","Famagusta, Cyprus",35.1205,33.9388,1
"Famagusta, Cyprus","Famagusta, Cyprus",35.1205261,33.9387919,1
"Farasan, Saudi Arabia","Farasan, Saudi Arabia",16.7379259,41.9079778,1
"Fecamp, France","Fecamp, France",49.7577729,0.374891,1
"Fort Pierce, Florida, United States of America","Fort Pierce, Florida, USA",27.4467056,-80.3256056,1
"Fort de France, France","Fort de France, France",14.6027962,-61.0676724,1
"Frederiksvaerk, Denmark","Frederiksvaerk, Denmark",55.9719082,12.0174311,1
"Freeport anchorage, Bahamas","Freeport, Bahamas",26.5357,-78.6954,1
"Freeport, Bahamas","Freeport, Bahamas",26.535681,-78.6953623,1
"Freetown anchorage, Sierra Leone","Freetown, Sierra Leone",8.479,-13.268,1
"Freetown, Sierra Leone","Freetown, Sierra Leone",8.479004,-13.26795,6
"Fujairah, United Arab Emirates","Fujairah, United Arab Emirates",25.4147357,56.2313667,10
"Fuzhou anchorage, China","Fuzhou Anchorage, China",26.0775,119.2918,1
"Gabes Port, Tunisia","Gabes Port, Tunisia",33.7308154,9.9145145,2
"Gadani, Pakistan","Gadani, Pakistan",25.1191176,66.732175,1
"Gangavaram, India","Gangavaram, India",13.2351728,78.7511018,1
"Gdynia, Poland","Gdynia, Poland",54.5233304,18.6040279,3
"Gebze, Turkey","Gebze, Turkey",40.8006696,29.431767,1
"Genoa, Italy","Genoa, Italy",44.40726,8.9338624,4
"Georgetown anchorage, Guyana","Georgetown, Guyana",6.8033,-58.1455,1
"Georgetown, Guyana","Georgetown, Guyana",6.8032561,-58.1455403,3
"Ghent, Belgium","Ghent, Belgium",51.0538286,3.7250121,2
"Gibraltar, United Kingdom of Great Britain and Northern Ireland","Gibraltar, England",51.791921,-0.9022301,2
"Giresun, Turkey","Giresun, Turkey",40.6531617,38.5172032,1
"Gonviales, Haiti","Gonviales, Haiti",19.4461,-72.6884,1
"Grand Harbour Marina, Valletta, Malta","Grand Harbour Marina, Valletta, Malta",35.8895458369073,14.5204615059949,1
"Gravendeel, Netherlands (Kingdom of the)","Gravendeel, Netherlands",51.7807,4.6199,1
"Great Yarmouth, United Kingdom of Great Britain and Northern Ireland","Great Yarmouth, England",52.6071742,1.7314845,2
"Guam, United States of America","Guam, USA",13.4501175,144.7577088,2
"Guandong shipyard, Guangzhou, China","Guangzhou, China",23.1288,113.259,1
"Guangzhou, China","Guangzhou, China",23.1288454,113.2590064,1
"Guanta, Venezuela (Bolivarian Republic of)","Guanta, Venezuela",10.2338,-64.5932,1
"Guayaquil, Ecuador","Guayaquil, Ecuador",-2.1900572,-79.8868669,2
"Guishan Anchorage, China","Guishan Anchorage, China",29.9873,122.203,3
"Gulluk Anch, Turkey","Gulluk Anch, Turkey",38.4695,40.9018,2
"Gunsan Port, Republic of Korea","Gunsan Port, Republic of Korea",35.9719471,126.5597569,1
"Hai Long, Vietnam, Viet Nam","Hai Long, Vietnam",20.9084,107.0683,1
"Haifa Port, Israel","Haifa, Israel",32.8193237,35.0361763,1
"Haifa, Israel","Haifa, Israel",32.8191218,34.9983856,15
"Haiphong, Viet Nam","Haiphong, Viet Nam",20.8623278,106.6799266,1
"Hakata, Japan","Hakata, Japan",33.5896075,130.4185261,1
"Haldia, India","Haldia, India",22.028124,88.0632655,3
"Halifax, Canada","Halifax, Canada",44.648618,-63.5859487,1
"Hamad, Qatar","Hamad, Qatar",25.2805177,51.5315501,2
"Hamriya Free Port, United Arab Emirates","Hamriyah, United Arab Emirates",25.4728575,55.4946245,1
"Hamriya port, United Arab Emirates","Hamriyah, United Arab Emirates",25.4739039,55.4802648,1
"Hamriya, United Arab Emirates","Hamriyah, United Arab Emirates",25.4570387,55.4995757,3
"Hamriyah Free Zone Port, United Arab Emirates","Hamriyah, United Arab Emirates",25.4597,55.4804,4
"Hamriyah Free Zone, Sharjah, United Arab Emirates","Hamriyah, United Arab Emirates",25.3533227835289,55.4307081319799,2
"Hamriyah Oil Terminal, United Arab Emirates","Hamriyah, United Arab Emirates",25.299169,55.334081,2
