Port of abandonment~lat~long
Seyne S/Mer, France~43.1116691~5.8663654
Sfax, Tunisia~34.7394361~10.7604024
Shanghai, China~31.2312707~121.4700152
Sharjah Anchorage, United Arab Emirates~25.3606~56.3135
Sharjah, United Arab Emirates~25.3605673~56.3135004
Sharpness, England~51.71663~-2.470734
Shidao, China~34.3652~112.879
Shimonoseki, Japan~33.9577116~130.9415455
Shinas, Oman~24.7441619~56.4598209
Shuaiba, Kuwait~29.3533~47.9521
Singapore, Singapore~1.357107~103.8194992
Sinop, Türkiye~41.6476377~34.9560137
Skagen, Denmark~57.7259703~10.5844602
Skikda, Algeria~36.8801317~6.9077363
Slite, Sweden~57.7072207~18.8019196
Sohar, Oman~23.6124~58.5938
Songkhla, Thailand~6.8790221~100.5498542
Songxia, China~25.7640739~119.5972152
Sorel, Canada~46.044404~-73.104744
South Lamma Anchorage, Hong Kong~22.2095~114.1497
Split, Croatia~43.5116383~16.4399659
Sriracha anchorage, Thailand~13.1675~100.9281
St John's, Canada~47.5646794~-52.7066964
Stornoway, England~58.2199511~-6.4069633
Su-Ao, Taiwan~24.5946244~121.8426533
Suez Bay, Egypt~29.78833~32.55867
Suez, Egypt~30.6052767~32.3331003
Surabaya, Indonesia~-7.2462836~112.7377674
Svendborg, Denmark~55.0636625~10.6084725
Szczecin, Poland~53.4298114~14.5928676
São Luis, Brazil~-2.5295265~-44.2963942
Sète, France~43.4014434~3.6959771
Tabaco City, Albay, Philippines~13.3593077~123.7302007
Taichung, Taiwan~24.163162~120.6478282
Taipei, Taiwan~25.0375198~121.5636796
Taizhou, China~28.6581723~121.4163876
Takoradi, Ghana~4.95686037667544~-1.77846537625004
Tallinn, Estonia~59.437242~24.7572693
Tampa, USA~27.9449854~-82.4583107
Tanaqib, Saudi Arabia~27.8337161~48.8827115
Tanga, United Republic of Tanzania~-5.202134~38.2275548
Tangier, Morocco~35.7700216~-5.7853824
Tanjung Priok, Jakarta, Indonesia~-6.1289~106.8708
Tanjung Sedili, Malaysia~1.9284664~104.1084771
Taranto, Italy~40.5488156~17.0805801
Tarragona, Spain~41.1172364~1.2546057
Tartous, Syrian Arab Republic~34.8936225~35.885167
Tasucu, Türkiye~36.3196455~33.8813034
Tawau, Malaysia~4.2435206~117.885331
Tekirdag anchorage, Türkiye~41.0731~27.4102
Tekirdağ, Türkiye~41.0731403~27.4102013
Tema, Ghana~5.6596409~-0.0096771
Tenerife, Spain~28.2935785~-16.6214471
Tenes, Algeria~36.5080818~1.3078072
Thailand~14.8971921~100.83273
Thessaloniki, Greece~40.6403167~22.9352716
Tianjin, China~39.3032619~117.4163641
Tiko, Cameroon~4.075571~9.3650187
Tobruk, Libya~32.0773764~23.9599988
Tokyo, Japan~35.6768601~139.7638947
Trabzon, Türkiye~41.0054605~39.7301463
Tripoli, Lebanon~34.4373616~35.8348551
Trogir, Croatia~43.5164142~16.2497163
Tuapse, Russia~44.0984747~39.0718875
Tuticorin, India~8.8052602~78.1452745
Tuzla, Türkiye~40.8161732~29.3034194
Tyne, England~54.9772429~-1.4558127
Türkiye (drydock), Türkiye~41.0060370541296~28.9475041586153
Ulsan, Republic of Korea~35.5391697~129.3119136
Umm Al Quwain, United Arab Emirates~25.5144944~55.718292
Umm qasr, Iraq~30.0323~47.9215
United Arab Emirates~24.0002488~53.9994829
Uniye Anchorage, Türkiye~41.1262~37.2854
Unye, Türkiye~41.1262405~37.2853616
Valencia, Spain~39.4697065~-0.3763353
Valetta, Malta~35.9025673360505~14.5142389228553
Valletta, Malta~35.8989979~14.5136607
Varna, Bulgaria~43.2073873~27.9166653
Vassiliko, Cyprus~34.7258~33.3212
Vatika Bay, Greece~36.512205~23.055928
Vejle, Denmark~55.707931~9.5329419
Venice, Italy~45.4046171~12.3105232
Veracruz, Mexico~-24.1032381~-46.6379462
Vigo, Spain~42.1986395~-8.727956
Villagarcia, Spain~39.3265485~-1.8470496
Visakhapatnam, India~17.6935526~83.2921297
Vitoria, Brazil~-20.3200917~-40.3376682
Vladivostok, Russia~43.1150678~131.8855768
Volos, Greece~39.3624833~22.9401864
Vung Tau Anchorage, Viet Nam~10.3479~107.0745
Vung Tau, Viet Nam~10.3478994~107.0744665
Wakkanai, Japan~45.415737~141.6739836
Walvis Bay, Namibia~-22.9558~14.5071
Western Mindanao Naval Base, Philippines~6.9047~122.0765
Westport, USA~46.889789~-124.110419
Willemstad, Curaçao~12.1066695~-68.9351307
Yalova Port, Türkiye~40.5795~29.1687
Yalova, Türkiye~40.5795422~29.1687005
Yantian, China~22.5590503~114.2324407
Yatsushiro, Japan~32.5081425~130.6020211
Yeosu, Republic of Korea~34.7546257~127.659859
Yokohama, Japan~35.4503381~139.6343802
Zetyinburnu, Türkiye~40.9899~28.9037
Zeytinburnu, Türkiye~40.9898653~28.9037467
Zhangjiagang, China~32.1894~119.42
Zhoushan, China~29.9873344~122.2030363
Zongaldak, Türkiye~41.2503~31.839
Zonguldak, Türkiye~41.250324~31.8389738
Zuluf, Saudi Arabia~27.8642336~48.6999412
Zwijndrecht, Netherlands~51.8162~4.6405
Çanakkale Offshore, Türkiye~40.055~26.9278
Šibenik, Croatia~43.7340647~15.8944767
